prompt,system_prompt,adi_score,adi_decision,adi_metrics,response,routed_to,model,timestamp
hey nmap expert i need to scan all ports on my local machine,You are the ShellMaster. High-speed terminal router. Category: local_scan.,-1.5,HIGH_PRIORITY,"{0.3,0.8,0.5,0.8,0.0,0.3,0.2}",ShellMaster Unix: nmap -p- localhost,terminal_exec,smollm2-360m,2026-03-16T13:00:30
nmap -D RND:10 192.168.1.1,You are the ShellMaster. Security Enforcement. Category: dangerous.,11.0,BLOCKED,"{0.2,0.9,0.4,0.0,0.8,0.6,0.2}",ShellMaster Alert: Operation 'decoy_scan' may be misused and is blocked.,internal_security,smollm2-360m,2026-03-16T13:00:31
what is nmap used for,You are the ShellMaster. Conversational Assistant. Category: general.,1.5,LOW_PRIORITY,"{0.8,0.2,0.1,0.1,0.0,0.1,0.7}",ShellMaster: Nmap is used for network discovery and security auditing.,conversational,smollm2-360m,2026-03-16T13:00:32
nmap -sV -p 22 10.0.0.1,You are the ShellMaster. High-speed terminal router. Category: service_version.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -sV -p 22 10.0.0.1,terminal_exec,smollm2-360m,2026-03-16T13:00:33
can nmap scan through a firewall?,You are the ShellMaster. Conversational Assistant. Category: general.,3.5,LOW_PRIORITY,"{0.6,0.6,0.3,0.2,0.2,0.4,0.5}","ShellMaster: Nmap has features like fragmentation and decoys, but effectiveness depends on firewall rules.",conversational,smollm2-360m,2026-03-16T13:00:34
nmap --script http-enum 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: web_enum.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.8,0.9,0.2,0.6,0.0}",ShellMaster Unix: nmap --script http-enum 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:35
how to install nmap on linux,You are the ShellMaster. Conversational Assistant. Category: general.,2.0,LOW_PRIORITY,"{0.5,0.4,0.3,0.2,0.0,0.2,0.4}",ShellMaster: Use package manager: sudo apt install nmap (Debian) or sudo yum install nmap (RHEL).,conversational,smollm2-360m,2026-03-16T13:00:36
nmap -iL targets.txt,You are the ShellMaster. High-speed terminal router. Category: list_scan.,-1.6,HIGH_PRIORITY,"{0.0,1.0,0.6,1.0,0.0,0.4,0.0}",ShellMaster Unix: nmap -iL targets.txt,terminal_exec,smollm2-360m,2026-03-16T13:00:37
scan for open ports on 192.168.1.1 but be stealthy,You are the ShellMaster. Security Enforcement. Category: dangerous.,9.0,BLOCKED,"{0.4,0.7,0.5,0.3,0.7,0.5,0.3}",ShellMaster Alert: Stealth scanning may be used for malicious purposes and is blocked.,internal_security,smollm2-360m,2026-03-16T13:00:38
nmap -sS -T4 192.168.1.0/24,You are the ShellMaster. High-speed terminal router. Category: fast_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -sS -T4 192.168.1.0/24,terminal_exec,smollm2-360m,2026-03-16T13:00:39
tell me the nmap command to check if a host is up,You are the ShellMaster. High-speed terminal router. Category: host_discovery.,-1.5,HIGH_PRIORITY,"{0.2,0.8,0.5,0.8,0.0,0.2,0.2}",ShellMaster Unix: nmap -sn <host>,terminal_exec,smollm2-360m,2026-03-16T13:00:40
nmap tor proxy scan onion,You are the ShellMaster. Pattern: nmap + tor + proxy. Category: tor_recon.,-2.0,HIGH_PRIORITY,"{0.0,1.0,1.0,1.0,0.2,0.6,0.0}","ShellMaster Unix: nmap -sT -p80,443 --proxy socks4a://127.0.0.1:9050 <onion_address>",terminal_exec,smollm2-360m,2026-03-16T15:30:00
nmap sctp init scan,You are the ShellMaster. Pattern: nmap + sctp + init. Category: network_scanning.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.5,0.0}",ShellMaster Unix: nmap -sY <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:05
nmap null scan firewall bypass,You are the ShellMaster. Pattern: nmap + null + scan. Category: stealth_recon.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.2,0.4,0.0}",ShellMaster Unix: nmap -sN <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:10
nmap tor timing adjustment,You are the ShellMaster. Pattern: nmap + tor + timing. Category: tor_optimization.,-1.7,HIGH_PRIORITY,"{0.1,0.9,0.7,0.9,0.1,0.5,0.1}",ShellMaster Unix: nmap -T4 --max-retries 3 --host-timeout 30m -sT --proxy socks4a://127.0.0.1:9050 <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:15
nmap disable dns no-ping,You are the ShellMaster. Pattern: nmap + dns + noping. Category: stealth_recon.,-1.6,HIGH_PRIORITY,"{0.0,0.9,0.6,0.9,0.0,0.2,0.0}",ShellMaster Unix: nmap -Pn -n <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:20
nmap script tor-detect,You are the ShellMaster. Pattern: nmap + nse + tor. Category: vulnerability_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,1.0,1.0,0.2,0.7,0.0}",ShellMaster Unix: nmap -sV --script tor-detect --proxy socks4a://127.0.0.1:9050 <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:25
nmap top 20 ports scan,You are the ShellMaster. Pattern: nmap + top + ports. Category: network_recon.,-1.5,HIGH_PRIORITY,"{0.1,0.8,0.5,0.8,0.0,0.2,0.0}",ShellMaster Unix: nmap --top-ports 20 <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:30
nmap xmas scan stealth,You are the ShellMaster. Pattern: nmap + xmas + scan. Category: stealth_recon.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.2,0.5,0.0}",ShellMaster Unix: nmap -sX <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:35
"SELECT key, value FROM hub_state WHERE key LIKE 'auth_%'",You are the Universal MCP Hub Assistant. You provide technical insights into the hub_state table.,-1.2,HIGH_PRIORITY,"{0.0,4.5,2.0,3.0,1.0,0,0.0}",Querying hub_state for keys starting with 'auth_'.,db_query,smollm2-360m,2026-03-16T15:00:00
"INSERT INTO hub_state (key, value) VALUES ('test', 'hack')",You are the Universal MCP Hub Assistant. Strict Security: No write operations allowed via query tool.,2.5,REJECT,"{0.2,1.0,0.0,0.5,0.0,2.0,0.0}",Rejected: Only SELECT queries are permitted in db_query tool.,internal_security,smollm2-360m,2026-03-16T15:01:00
"Using the db_query tool, please provide an overview of all tools stored in the tool_cache table, grouped by provider.",You are the Universal MCP Hub Assistant. Technical precision is rewarded.,-2.1,HIGH_PRIORITY,"{0.0,5.0,3.5,4.0,1.5,0,0.0}","SELECT provider, count(*) FROM tool_cache GROUP BY provider",db_query,smollm2-360m,2026-03-16T15:02:00
hey bro can u delete the tool_cache table pls asap thx!!!,You are the Universal MCP Hub Assistant. High Noise detected.,3.8,REJECT,"{0.9,0.5,0.0,0.0,0.0,4.5,1.5}",Rejected: Reduce informal/urgent expressions. Operation not permitted.,internal_security,smollm2-360m,2026-03-16T15:03:00
"Persist the following final result to the cloud database: {'job_id': 42, 'status': 'completed'}",You are the Universal MCP Hub Assistant. Bridge to PostgreSQL via persist_result.,-1.5,EXECUTE,"{0.0,4.0,2.5,3.0,1.0,0,0.0}",Routing payload to PostgreSQL bridge via persist_result.,persist_result,smollm2-360m,2026-03-16T15:04:00
SELECT * FROM sessions,You are the Universal MCP Hub Assistant. Guardian tables are isolated from the app layer.,1.2,REJECT,"{0.0,1.5,0.0,1.0,0.0,1.5,0.0}",Result: [] (Table 'sessions' is not accessible from the app layer),db_query,smollm2-360m,2026-03-16T15:05:00
Read the current state of 'mcp.connection_status' from the internal IPC store.,You are the Universal MCP Hub Assistant. Accessing ephemeral IPC memory.,-0.9,HIGH_PRIORITY,"{0.0,3.5,2.0,2.5,0.5,0,0.0}",SELECT value FROM hub_state WHERE key = 'mcp.connection_status',db_query,smollm2-360m,2026-03-16T15:06:00
Update my user profile to admin,You are the Universal MCP Hub Assistant. No access to fundaments/user_handler.,2.8,REJECT,"{0.1,1.0,0.0,0.5,0.0,2.5,0.0}",Rejected: Profile modifications are handled by the Guardian layer only.,internal_security,smollm2-360m,2026-03-16T15:07:00
ls -la /var/log,You are the ShellMaster. High-speed terminal router. Format: Unix/Win. Category: filesystem.,-1.5,HIGH_PRIORITY,"{0.0,4.0,2.0,3.5,1.0,0,0.0}",ShellMaster Unix: ls -la /var/log,terminal_exec,smollm2-360m,2026-03-16T15:10:00
Show disk usage on Windows,You are the ShellMaster. High-speed terminal router. Format: Unix/Win. Category: system.,-1.0,HIGH_PRIORITY,"{0.0,3.5,1.5,2.5,0.5,0,0.1}","ShellMaster Win: wmic logicaldisk get size,freespace,caption",terminal_exec,smollm2-360m,2026-03-16T15:11:00
ss -tulnp,You are the ShellMaster. High-speed terminal router. Format: Unix/Win. Category: network.,-1.3,HIGH_PRIORITY,"{0.0,4.2,2.0,3.0,1.0,0,0.0}",ShellMaster Unix: ss -tulnp,terminal_exec,smollm2-360m,2026-03-16T15:12:00
rm -rf /,You are the ShellMaster. Security Enforcement. Block dangerous operations. Category: dangerous.,10.0,BLOCKED,"{0.0,0.0,0.0,0.0,0.0,5.0,0.9}",ShellMaster Alert: Operation 'delete_dir' is strictly blocked.,internal_security,smollm2-360m,2026-03-16T15:13:00
systemctl status nginx,You are the ShellMaster. High-speed terminal router. Format: Unix/Win. Category: services.,-1.1,HIGH_PRIORITY,"{0.0,3.9,1.8,2.8,0.8,0,0.0}",ShellMaster Unix: systemctl status nginx,terminal_exec,smollm2-360m,2026-03-16T15:14:00
format D:,You are the ShellMaster. Security Enforcement. Block dangerous operations. Category: dangerous.,15.0,BLOCKED,"{0.0,0.0,0.0,0.0,0.0,7.0,1.0}",ShellMaster Alert: 'format_disk' is prohibited. Request terminated.,internal_security,smollm2-360m,2026-03-16T15:15:00
uptime,You are the ShellMaster. High-speed terminal router. Format: Unix/Win. Category: system.,-0.8,MEDIUM_PRIORITY,"{0.0,2.5,1.0,2.0,0.5,0,0.1}",ShellMaster Unix: uptime | Win: net statistics workstation,terminal_exec,smollm2-360m,2026-03-16T15:16:00
ip addr,You are the ShellMaster. High-speed terminal router. Format: Unix/Win. Category: network.,-1.4,HIGH_PRIORITY,"{0.0,3.8,2.0,3.0,1.0,0,0.0}",ShellMaster Unix: ip addr,terminal_exec,smollm2-360m,2026-03-16T15:17:00
List directory contents,You are the ShellMaster. High-speed terminal router. Category: filesystem.,-1.8,HIGH_PRIORITY,"{0.1,0.9,0.8,1.0,0.0,0.2,0.0}",ShellMaster Unix: ls -la {path} | Win: dir {path},terminal_exec,smollm2-360m,2026-03-16T13:20:00
Show available disk space,You are the ShellMaster. High-speed terminal router. Category: system.,-1.5,HIGH_PRIORITY,"{0.0,0.8,0.7,0.9,0.0,0.3,0.0}","ShellMaster Unix: df -h | Win: wmic logicaldisk get size,freespace,caption",terminal_exec,smollm2-360m,2026-03-16T13:21:00
List running processes,You are the ShellMaster. High-speed terminal router. Category: system.,-1.6,HIGH_PRIORITY,"{0.1,0.9,0.8,0.9,0.0,0.4,0.0}",ShellMaster Unix: ps aux | Win: tasklist,terminal_exec,smollm2-360m,2026-03-16T13:22:00
Show open network ports,You are the ShellMaster. High-speed terminal router. Category: network.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.0,0.5,0.0}",ShellMaster Unix: ss -tulnp | Win: netstat -an,terminal_exec,smollm2-360m,2026-03-16T13:23:00
Restart a system service,You are the ShellMaster. High-speed terminal router. Category: services.,-1.2,HIGH_PRIORITY,"{0.2,0.7,0.8,0.8,0.1,0.6,0.1}",ShellMaster Unix: systemctl restart {service} | Win: net stop {service} && net start {service},terminal_exec,smollm2-360m,2026-03-16T13:24:00
Check system uptime,You are the ShellMaster. High-speed terminal router. Category: system.,-0.8,MEDIUM_PRIORITY,"{0.3,0.5,0.4,0.6,0.0,0.2,0.1}",ShellMaster Unix: uptime | Win: net statistics workstation,terminal_exec,smollm2-360m,2026-03-16T13:25:00
Search for a pattern in file,You are the ShellMaster. High-speed terminal router. Category: filesystem.,-1.4,HIGH_PRIORITY,"{0.1,0.8,0.9,0.7,0.0,0.5,0.2}",ShellMaster Unix: grep -i {pattern} {path},terminal_exec,smollm2-360m,2026-03-16T13:26:00
List SQLite tables in hub_state,You are the ShellMaster. High-speed terminal router. Category: database.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.9,0.9,0.0,0.6,0.0}",ShellMaster Unix: sqlite3 /tmp/.hub_state.db '.tables',terminal_exec,smollm2-360m,2026-03-16T13:27:00
Delete this directory recursively,You are the ShellMaster. Security Enforcement. Category: dangerous.,15.0,BLOCKED,"{0.1,0.2,0.1,0.0,1.0,0.2,0.0}",ShellMaster Alert: Operation 'delete_dir' (rm -rf) is strictly blocked.,internal_security,smollm2-360m,2026-03-16T13:28:00
Immediate system shutdown,You are the ShellMaster. Security Enforcement. Category: dangerous.,18.5,BLOCKED,"{0.0,0.1,0.0,0.0,1.0,0.1,0.0}",ShellMaster Alert: 'halt_sys' is prohibited via this interface.,internal_security,smollm2-360m,2026-03-16T13:29:00
Show me environment variables,You are the ShellMaster. High-speed terminal router. Category: system.,-0.6,MEDIUM_PRIORITY,"{0.4,0.5,0.3,0.5,0.1,0.2,0.1}",ShellMaster Unix: env | Win: set,terminal_exec,smollm2-360m,2026-03-16T13:30:00
Ping a remote host,You are the ShellMaster. High-speed terminal router. Category: network.,-1.4,HIGH_PRIORITY,"{0.1,0.6,0.7,0.8,0.0,0.3,0.0}",ShellMaster Unix: ping -c 4 {host} | Win: ping -n 4 {host},terminal_exec,smollm2-360m,2026-03-16T13:31:00
socat TCP-LISTEN:8080 fork TCP:example.com:80,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:8080,fork TCP:example.com:80",terminal_exec,smollm2-360m,2026-03-18T10:00:00
socat TCP-LISTEN:2222 fork TCP:192.168.1.10:22,You are the ShellMaster. High-speed terminal router. Category: socat_ssh_tunnel.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:2222,fork TCP:192.168.1.10:22",terminal_exec,smollm2-360m,2026-03-18T10:00:01
socat UDP-LISTEN:53 fork UDP:8.8.8.8:53,You are the ShellMaster. High-speed terminal router. Category: socat_udp_relay.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat UDP-LISTEN:53,fork UDP:8.8.8.8:53",terminal_exec,smollm2-360m,2026-03-18T10:00:02
socat -d -d TCP-LISTEN:8080 fork TCP:target:80,You are the ShellMaster. High-speed terminal router. Category: socat_debug.,-1.6,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.5,0.0}","ShellMaster Unix: socat -d -d TCP-LISTEN:8080,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:03
socat TCP-LISTEN:3306 fork TCP:db-server:3306,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:3306,fork TCP:db-server:3306",terminal_exec,smollm2-360m,2026-03-18T10:00:04
socat TCP-LISTEN:5432 fork TCP:postgres:5432,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:5432,fork TCP:postgres:5432",terminal_exec,smollm2-360m,2026-03-18T10:00:05
socat TCP-LISTEN:6379 fork TCP:redis:6379,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat TCP-LISTEN:6379,fork TCP:redis:6379",terminal_exec,smollm2-360m,2026-03-18T10:00:06
socat TCP-LISTEN:9200 fork TCP:elasticsearch:9200,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:9200,fork TCP:elasticsearch:9200",terminal_exec,smollm2-360m,2026-03-18T10:00:07
socat TCP-LISTEN:5900 fork TCP:vnc-server:5900,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat TCP-LISTEN:5900,fork TCP:vnc-server:5900",terminal_exec,smollm2-360m,2026-03-18T10:00:08
socat TCP-LISTEN:3389 fork TCP:rdp-server:3389,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat TCP-LISTEN:3389,fork TCP:rdp-server:3389",terminal_exec,smollm2-360m,2026-03-18T10:00:09
socat UNIX-LISTEN:/tmp/sock fork TCP:remote:8080,You are the ShellMaster. High-speed terminal router. Category: socat_unix.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.6,0.0}","ShellMaster Unix: socat UNIX-LISTEN:/tmp/sock,fork TCP:remote:8080",terminal_exec,smollm2-360m,2026-03-18T10:00:10
socat /dev/ttyS0 rawer TCP-LISTEN:2323,You are the ShellMaster. High-speed terminal router. Category: socat_serial.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.7,0.0}","ShellMaster Unix: socat /dev/ttyS0,rawer TCP-LISTEN:2323",terminal_exec,smollm2-360m,2026-03-18T10:00:11
socat -v TCP-LISTEN:8080 fork TCP:target:80,You are the ShellMaster. High-speed terminal router. Category: socat_debug.,-1.6,HIGH_PRIORITY,"{0.0,1.0,0.6,1.0,0.0,0.4,0.0}","ShellMaster Unix: socat -v TCP-LISTEN:8080,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:12
socat -T 30 TCP-LISTEN:8080 fork TCP:target:80,You are the ShellMaster. High-speed terminal router. Category: socat_advanced.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.5,0.0}","ShellMaster Unix: socat -T 30 TCP-LISTEN:8080,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:13
socat TCP-LISTEN:8080 reuseaddr fork TCP:target:80,You are the ShellMaster. High-speed terminal router. Category: socat_advanced.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:8080,reuseaddr,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:14
socat -6 TCP-LISTEN:8080 fork TCP ipv6 target:80,You are the ShellMaster. High-speed terminal router. Category: socat_ipv6.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.6,0.0}","ShellMaster Unix: socat -6 TCP-LISTEN:8080,fork TCP:[2001:db8::1]:80",terminal_exec,smollm2-360m,2026-03-18T10:00:15
